mpid	log(PF_p*10^9)	mean_Number
mp-540997	5.896526217	21.88888889
mp-686466	5.663700925	20
mp-743584	5.214843848	7.181818182
mp-570693	6.06069784	22
mp-627123	6.437750563	7.714285714
mp-694884	6.394451681	8.526315789
mp-683616	6.822168079	10.71232877
mp-39123	6.488550717	12.6
mp-691091	5.88536122	8.260869565
mp-765511	6.301029996	6.923076923
mp-685157	6.068185862	14.5
mp-676816	6.482873584	24.36363636
mp-38284	6.682145076	26.54545455
mp-756745	7.40654018	54
mp-676711	4.426511261	14.85714286
mp-689684	6.209515015	10
mp-764645	4.919078092	8.818181818
mp-667495	5.10720997	16.82758621
mp-675492	6.662757832	20.69565217
mp-744674	4.850646235	7.846153846
mp-695536	5.845718018	9.272727273
mp-776523	6.85672889	9.789473684
mp-695286	5.045322979	9.696202532
mp-695699	4.57054294	16.7
mp-684736	4.737192643	5.130434783
mp-677670	4.478566496	8.260869565
mp-686674	5.852479994	20.47619048
mp-721650	6.477121255	19.375
mp-756853	7.383815366	13.83333333
mp-28711	6.721810615	28.4
mp-118	6.021189299	15
mp-14242	6.94792362	49.33333333
mp-558946	6.396199347	36.8
mp-8190	6.820201459	37.33333333
mp-669445	6.127104798	43.37142857
mp-504876	6.463892989	52.76595745
mp-676540	7.068185862	41
mp-686581	6.426511261	32.07142857
mp-10621	6.322219295	30
mp-24818	6.805500858	2
mp-680436	6.868056362	39.57142857
mp-675132	5.389166084	20.8
mp-28400	6.693726949	22.25
mp-753806	6.641474111	16
mp-698396	7.033423755	9.25
mp-541682	5.661812686	22.66666667
mp-644324	6.983626287	9.473684211
mp-31232	6.292256071	19.125
mp-573321	6.804820679	51
mp-23273	6.053078443	52.5
mp-556369	6.155336037	29
mp-24817	6.72427587	2
mp-554678	6	15.5
mp-769500	6.206825876	10.27272727
mp-3312	6.806179974	41.85714286
mp-27178	6.632457292	28.6
mp-555078	5.369215857	25.33333333
mp-760994	6.100370545	17.2
mp-771132	5.662757832	22.75
mp-559795	5.130333768	23.625
mp-758269	5.892094603	28.32258065
mp-8450	5.855519156	16
mp-706658	5.292256071	4.430379747
mp-640357	5.28780173	10
mp-7118	5.697229343	25.55555556
mp-27686	6.089905111	16.54545455
mp-28623	5.50242712	12.76190476
mp-560904	6.243038049	27.2
mp-768281	5.559906625	23.09090909
mp-757885	6.305351369	14.28571429
mp-555462	5.862727528	5.714285714
mp-28382	5.356025857	16.25
mp-698183	5.187520721	4.430379747
mp-697540	4.945468585	12.2
mp-17761	5.475671188	15.2
mp-9145	6.117271296	37.66666667
mp-554883	6.049218023	5.714285714
mp-754468	6.245512668	14
mp-557683	6.017033339	13.45454545
mp-558607	5.622214023	17.61904762
mp-560387	5.507855872	15.86666667
mp-707866	5.865103975	8.769230769
mp-625320	5.958085849	5.714285714
mp-23792	5.149219113	10.375
mp-9693	6.201397124	31.66666667
mp-28455	6.271841607	22.36363636
mp-776086	5.871572936	15.2
mp-504849	5.864511081	18
mp-18313	6.117271296	15.2
mp-505551	5.837588438	11.77777778
mp-558208	4.900367129	18.90909091
mp-541827	5.698100546	17.92592593
