mpid,formula,crystal_system,e_hull,band_gap,formation,space_group
mp-645655,TeMo3Se7I6,2,0,1.0701,-0.735198493,14
mp-568644,K9InSe7,2,0,1.8024,-1.232797415,14
mp-29386,K6Sn2Se7,2,0,1.6684,-1.186122996,14
mp-542078,K2LaP2Se7,2,0,1.4116,-1.174220363,14
mp-1199546,Sr10Sb16H6Se7O30,2,0,2.0038,-2.004236298,14
mp-542079,K3La(PSe4)2,2,0,1.4575,-1.192551749,14
mp-866688,Cs4P2PdSe8,2,0,1.4224,-0.992793112,14
mp-557236,Te2As2Se8S(OF6)2,2,0,1.1774,-1.656266634,14
mp-1218308,Ta2Se8Br,2,0,0.5301,-0.954068753,14
mp-669351,Rb3Ce(PSe4)2,2,0,0.2138,-1.15254502,14
mp-680185,CsRe6Se8I3,2,0,0.9431,-0.818604503,14
mp-31229,Na4(BSe)9,2,0,2.2101,-0.680606984,14
mp-1195068,Ba3Ta2Se9,2,0,1.202,-1.576411596,14
mp-28975,Bi2(PSe3)3,2,0,1.248,-0.495044008,14
mp-570411,K12In2Se9,2,0,1.646,-1.247423321,14
mp-1197620,K3As(PSe3)3,2,0,1.5724,-0.769214213,14
mp-15046,Sb2(PSe3)3,2,0,1.3286,-0.182319531,14
mp-1201199,Cs3As(PSe3)3,2,0,1.7495,-0.814353403,14
mp-1199727,Rb2Ag2Sn(PSe3)3,2,0,1.5971,-0.677976868,14
mp-1199715,K2In2P3Se10,2,0,1.5675,-0.762991319,14
mp-570167,Rb3SnP3Se11,2,0,0.794,-0.792165933,14
mp-1197158,Cs3Nb2Se11,2,0,0.8621,-1.102939052,14
mp-28428,K3Nb2Se11,2,0,0.8636,-1.068875031,14
mp-571293,Rb2BaNb2Se11,2,0,1.2878,-1.217559986,14
mp-570757,Nb2Tl3CuSe12,2,0,0.5732,-0.769117696,14
mp-569378,Rb3Ta2AgSe12,2,0,1.425,-1.019109294,14
mp-6168,K3Nb2CuSe12,2,0,1.1323,-1.017774884,14
mp-30105,Ba2B4Se13,2,0,1.333,-0.87635302,14
mp-683936,Ba4LaGe3SbSe13,2,0,0.9686,-1.457794822,14
mp-1197713,K2H2Se(IO5)2,2,0,3.7575,-1.311290959,15
mp-23969,ZnH2SeO5,2,0,2.7214,-1.347913976,15
mp-23968,NiH2SeO5,2,0,2.6943,-1.250130849,15
mp-23966,MgH2SeO5,2,0,3.4068,-1.693305206,15
mp-643412,MnH2SeO5,2,0,1.9027,-1.45554709,15
mp-1220837,NaHSeO3,2,0,4.0231,-1.535609508,15
mp-560907,MoSeS2Cl5,2,0,2.0114,-1.034122206,15
mp-541817,NbSeI3,2,0,0.627,-0.883071264,15
mp-540675,SeCl4,2,0,2.9491,-0.349825508,15
mp-723043,K2TeH6SeO10,2,0,3.4641,-1.492506595,15
mp-4426,Li4SeO5,2,0,2.4442,-1.948782194,15
mp-562826,CoSeO3,2,0,0.0,-1.308005138,15
mp-9178,CdSe2O5,2,0,2.9054,-1.323404422,15
mp-28175,Pd(SeCl3)2,2,0,1.7002,-0.408247119,15
mp-31309,RbInSe2,2,0,1.6462,-1.148963118,15
mp-9639,BaCu(SeO3)2,2,0,0.0,-1.733232892,15
mp-17060,NaAlSe2,2,0,2.8666,-1.229169387,15
mp-863762,AlTlSe2,2,0,1.789,-0.900372655,15
mp-1211743,KAlSe2,2,0,2.4189,-1.352712014,15
mp-1194412,Pb3Se2(BrO3)2,2,0,2.8329,-1.44769166,15
mp-28562,RbAsSe2,2,0,1.6285,-0.85143755,15
mp-17254,TlGaSe2,2,0,1.5111,-0.691757995,15
mp-7086,RbFeSe2,2,0,0.0,-0.896729786,15
mp-4649,PdSe2O5,2,0,1.0057,-0.716459159,15
mp-1200720,CsInSe2,2,0,1.6302,-1.171159493,15
mp-9640,SrCu(SeO3)2,2,0,0.3056,-1.732138829,15
mp-1190543,Rb2Se2O7,2,0,3.0932,-1.550821226,15
mp-17839,K3Na(SeO4)2,2,0,3.2916,-1.789283324,15
mp-3199,CuSe2O5,2,0,0.0,-1.130997089,15
mp-7547,BaSe2,2,0,0.6166,-1.708274352,15
mp-505700,KInSe2,2,0,1.4816,-1.132913743,15
mp-1181715,NiH10(SeO5)2,2,0,3.8277,-1.266401129,15
mp-560193,SnSe2(Cl4O)2,2,0,2.7633,-1.154777643,15
mp-1205352,BaPd(SeO3)2,2,0,1.6511,-1.698655922,15
