mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-1226974,Cd2GaAg(SeS)2,8,2,0.0852731324999993,0.0,-0.7119147998567699,8
mp-676284,YAgSe2,8,2,0.0412201124999986,0.5158999999999998,-1.3946174178385409,8
mp-675376,HoAgSe2,8,2,0.0398680537500011,0.6869000000000001,-1.392939750338539,8
mp-2240667,MgTe2MoW2(SeS)2,10,2,0.3132378978750036,0.0,-0.6508274508020833,8
mp-2225564,MgMo2(SeS)2,7,2,0.2607735417857144,0.1143999999999998,-0.8965142263839283,8
mp-2223324,MgTe2Mo2W(SeS)2,10,2,0.3552076740000034,0.0,-0.6424280508020835,8
mp-1218006,TaCu3TeSe2S,8,2,0.0004724565624965,1.5847000000000002,-0.7118035151484365,8
mp-1219473,Sb4(TeSe)3,10,2,0.0112046530000045,0.2496,-0.4646974837031244,8
mp-1226370,Cr2CoSe3S,7,2,0.0597663132804147,0.0,-0.7270344627901772,8
mp-1224181,In2CuSe3I,7,2,0.0288914106250008,0.1766999999999998,-0.7104535371949398,8
mp-1215622,ZnCu2SnSe3S,8,2,0.0214397091874989,0.0079000000000002,-0.6405656105664064,8
mp-1221770,MnCr2Se3S,7,2,0.012563118392852,0.0,-0.8113407439231821,8
mp-1224020,In3AsSe3,7,2,0.0137185757142859,0.201,-0.5877752744791727,8
mp-1226396,Cr2FeSe3S,7,2,0.1067277771428543,0.0,-0.6884237756473206,8
mp-1215574,ZnGaCuSe3,6,2,0.0150751550000003,0.0,-0.7780201990885415,8
mp-1226512,Co(NiSe2)2,7,2,0.0192310861904729,0.0,-0.3369248668452351,8
mp-1215404,ZrMn(CuSe2)2,8,2,0.1405756278124998,0.2281999999999997,-0.7246922946632539,8
mp-1227031,Cd2InCuSe4,8,2,0.031378844375002,0.0,-0.720794460755207,8
mp-1225174,Fe(CoSe2)2,7,2,0.0615491840476183,0.0,-0.5123990984821428,8
mp-1216659,V2FeSe4,7,2,0.0497069725714398,0.0,-0.813882118482142,8
mp-1226972,Cd2GaAgSe4,8,2,0.0494628618750008,0.0,-0.7133575310677074,8
mp-1224732,Fe(RhSe2)2,7,2,0.0508197492857149,0.0,-0.5866848656249998,8
mp-1087236,Ba2AsSe4O3,10,2,0.7919949307555862,0.1257999999999999,-1.0395312529374992,8
mp-2226441,MgMoW2(Se2S)2,10,2,0.2850661365000011,0.0646999999999999,-0.8527841479374999,8
mp-1217146,Ti2VSe4,7,2,0.0418946680952334,0.0,-1.280027466577381,8
mp-1224725,Fe2NiSe4,7,2,0.080640899404762,0.0,-0.5082787370535706,8
mp-1101119,Ti(CrSe2)2,7,2,0.0343198811111085,0.0,-0.9747155632440476,8
mp-1217350,Ti(FeSe2)2,7,2,0.0815723657142868,0.0,-0.8199576246726191,8
mp-1226067,Cr(FeSe2)2,7,2,0.0946620507142892,0.0,-0.5559668141964279,8
mp-2240606,MgMoW2(Se2S)2,10,2,0.2850308365000007,0.0550999999999999,-0.8528194479375003,8
mp-1224716,Fe2CoSe4,7,2,0.0784206194888597,0.0,-0.5025270599107147,8
mp-1216826,V(FeSe2)2,7,2,0.0535266071428592,0.0,-0.6679864984821425,8
mp-1215583,Zn4CoSe5,10,2,0.0718341376666686,0.0464,-0.7898390421718748,8
mp-1221515,MnZn4Se5,10,2,0.0,0.7303,-0.8858949829649785,8
mp-1224820,GaAgSeS,8,2,0.005698029374999,0.6068999999999998,-0.7167041022526037,9
mp-1078724,LiAsSe2,8,2,0.0,0.7504,-0.6450723543229167,9
mp-1340,Ga2Se3,10,2,0.0,1.0436,-0.7008674644374991,9
mp-11674,Al2Se3,10,2,0.0,1.8004000000000002,-1.008823536437501,9
mp-672302,Ga2Se3,10,2,0.4338463530000016,0.5838,-0.2670211114374979,9
mp-1226008,CoAsSe,6,2,0.0556668070833321,0.0,-0.3250987130208287,10
mp-1226035,CoSbSe,6,2,0.0212477555555601,0.0,-0.2408365538700394,10
mp-570062,ZrTiSe4,6,2,0.0216094133333335,0.0,-1.5133436854513889,10
mp-1217829,TaTiSe4,6,2,0.0138181941666664,0.0,-1.27394123667361,10
mp-675701,Ca(HoSe2)2,7,2,0.0122399110714255,1.1428,-2.210126742321429,10
mp-1216764,TiVSe4,6,2,0.0141702583333334,0.0,-1.20215500545139,10
mp-989651,HfTeSe4,6,2,0.0279533765384591,0.9563,-0.7596125728365403,10
mp-1224218,HfTiSe4,6,2,0.0193067999999998,0.0,-1.5238689354513906,10
mp-998413,CsSeBr3,10,2,0.0567569191176469,0.0,-1.1188100290549567,11
mp-998299,RbSeBr3,10,2,0.0507246968906254,1.2364,-1.1461399339687497,11
mp-545482,PdSeO3,10,2,0.0,1.0589,-0.7012520318124998,11
mp-9205,KSeO2F,10,2,0.0,3.3338,-1.9330381774187493,11
mp-755177,EuSeO3,10,2,0.0,0.0865999999999997,-2.248232022968751,11
mp-6989,BaSeO3,10,2,0.0,3.8866,-2.315497488968748,11
mp-3395,SrSeO3,10,2,0.0,3.7027,-2.0642218438125,11
mp-1079276,LiAsSe2,8,2,0.01502902,0.4895999999999998,-0.6300433343229201,11
mp-15622,HfSe3,8,2,0.0040617464843748,0.3170999999999999,-1.169647978046875,11
mp-9983,Ta2Se3,10,2,0.0053187306666693,0.0,-0.8427346813708312,11
mp-1220396,NbMoSe3,10,2,0.0854985803333399,0.0,-0.7551381801041714,11
mp-2330,Nb2Se3,10,2,0.0189091574999977,0.0,-0.9746263884374996,11
mp-1683,ZrSe3,8,2,0.0,0.3979000000000003,-1.2367712330468734,11
mp-570325,AuSe,8,2,0.003812233749997,0.0,-0.1364068407812482,12
mp-546684,PdSeO3,10,2,0.004668684000002,0.5709000000000002,-0.6965833478125006,12
mp-2793,AuSe,4,2,0.0,0.2627999999999999,-0.1402190745312452,12
mp-1065583,LaSe,4,2,0.2428861550000007,0.0,-2.0210971020312485,12
mp-1218371,Sr4SeS3,8,2,0.0054942450000012,2.3751,-2.401026276562499,12
mp-1216721,Tm5Te4Se,10,2,0.0181710160000001,0.0,-1.4875264519062512,12
mp-21405,InSe,8,2,0.0312004237500005,1.0804000000000005,-0.6455260882812475,12
