mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-1220035,NiTeSe,3,5,0.008450263333333652,0.0,-0.2641193530208336,156
mp-1224271,HfTeSe,3,5,0.007518535000002657,0.0,-1.2715563563541679,156
mp-1023948,TeMoSe,6,5,0.028919608333332292,0.46730000000000005,-0.49973469635416734,156
mp-1215504,ZnCdTeSe,4,5,0.09830277750000027,0.0045000000000001705,-0.7028519522526033,156
mp-1226939,Cd2TeSe,4,5,0.021030361250002017,0.2026000000000001,-0.7231469497526017,156
mp-1224368,GeTe(PbSe)2,6,5,0.027189234999998924,0.5438999999999998,-0.6049776810590265,156
mp-1216648,TiTeSe,3,5,0.0,0.0,-1.21246843078125,156
mp-1217257,TePtSe,3,5,0.020556505000001835,0.0,-0.43264675968749583,156
mp-1217319,TeW2Se3,6,5,0.09824185708333388,1.0972999999999997,-0.3836106395312413,156
mp-1225994,CoTeSe,3,5,0.05248273916667401,0.0,-0.21279663635416549,156
mp-1023943,TeWSe,6,5,0.04363141583332819,0.4851000000000001,-0.3164540713541631,156
mp-1217263,TePdSe,3,5,0.0037594920833292633,0.0,-0.3315344230208339,156
mp-1217314,TeMo2Se3,6,5,0.019325765000001383,0.9492999999999991,-0.6199698086979168,156
mp-1023945,Te2MoWSe2,6,5,0.1178839691666731,0.30499999999999994,-0.33761166718749297,156
mp-1025652,Te2MoW2(SeS)2,9,5,0.13550447722220582,0.0,-0.46247220430556507,156
mp-2239938,MgTe2Mo3(SeS)2,10,5,0.24334851225000342,0.0,-0.7396838638020832,156
mp-1025668,Te2Mo2WSe4,9,5,0.10866024555554787,0.0,-0.4449824595833339,156
mp-2222881,MgTe2Mo2W(SeS)2,10,5,0.31767691200000314,0.0,-0.6799588128020837,156
mp-2240501,MgTe2MoW2(SeS)2,10,5,0.2926564598750039,0.057800000000000296,-0.6714088888020825,156
mp-1025702,Te2Mo(WSe2)2,9,5,0.09131471999999974,0.12340000000000018,-0.41355553958332947,156
mp-1025705,Te2Mo(WSe2)2,9,5,0.1179614711111121,0.04820000000000002,-0.3869087884722167,156
mp-1217374,Te2MoWSe2,6,5,0.09601256083333709,0.8879000000000001,-0.3594830755208278,156
mp-1025578,Te2W3(SeS)2,9,5,0.06526436944444214,0.0,-0.4691055459722217,156
mp-2239918,MgTe2MoW2(SeS)2,10,5,0.3161353628750039,0.0,-0.6479299858020824,156
mp-2223884,MgTe2Mo2W(SeS)2,10,5,0.32696229700000234,0.12619999999999987,-0.6706734278020839,156
mp-1025692,Te2MoW2(SeS)2,9,5,0.08728178277776166,0.0,-0.5106948987500081,156
mp-1025772,Te2Mo2W(SeS)2,9,5,0.08536454388888615,0.0,-0.5613845831944452,156
mp-1025885,Te2Mo2WSe4,9,5,0.1356021599999906,0.0,-0.4180405451388904,156
mp-2226424,MgTe2MoW2(SeS)2,10,5,0.30323567687500397,0.0,-0.6608296718020824,156
mp-1026016,Te2Mo2W(SeS)2,9,5,0.10513928277777396,0.0,-0.5416098443055577,156
mp-1025836,Te2MoW2(SeS)2,9,5,0.13662264611109265,0.0,-0.4613540354166774,156
mp-2222940,MgTe2MoW2(SeS)2,10,5,0.3292464688750041,0.13859999999999983,-0.6348188798020828,156
mp-1025856,Te2MoW2(SeS)2,9,5,0.11550457166664785,0.0,-0.4824721098611222,156
mp-2222782,MgTe2Mo2W(SeS)2,10,5,0.3246946120000027,0.09949999999999992,-0.6729411128020836,156
mp-1026027,Te2Mo2W(SeS)2,9,5,0.13380594388888767,0.0,-0.5129431831944468,156
mp-1025768,Te2MoW2(SeS)2,9,5,0.08805270277776245,0.0,-0.5099239787500096,156
mp-2227493,MgTe2MoW2(SeS)2,10,5,0.31221012887500343,0.1376999999999997,-0.6518552198020828,156
mp-1025895,Te2MoW2(SeS)2,9,5,0.1146522716666496,0.0,-0.4833244098611197,156
mp-2224215,MgTe2Mo3(SeS)2,10,5,0.23907073725000316,0.0,-0.7439616388020831,156
mp-1025853,Te2Mo3(SeS)2,9,5,0.05252815666666777,0.0,-0.6217418159722222,156
mp-1025810,Te2Mo2W(SeS)2,9,5,0.08500203055555389,0.0,-0.5617470965277802,156
mp-1025778,Te2Mo2W(SeS)2,9,5,0.06761657111110964,0.0,-0.5791325559722225,156
mp-2223876,MgTe2MoW2(SeS)2,10,5,0.30530921587500437,0.0,-0.6587561328020826,156
mp-1025637,Te2W3(SeS)2,9,5,0.06534094166666549,0.0,-0.46902897374999636,156
mp-1025583,Te2Mo(WSe2)2,9,5,0.11805457555555776,0.0,-0.38681568402777267,156
mp-2240057,MgTe2Mo2W(SeS)2,10,5,0.3245246950000036,0.11079999999999979,-0.673111029802083,156
mp-1023927,Te2MoWSe2,6,5,0.0788983058333379,0.7319999999999998,-0.37659733052082817,156
mp-1025927,Te2Mo3(SeS)2,9,5,0.05307325111111538,0.0,-0.6211967215277778,156
mp-1025876,Te2Mo3Se4,9,5,0.025417644444441834,0.0,-0.5769975062500047,156
mp-2226965,MgTe2Mo3(SeS)2,10,5,0.25087636425000337,0.03039999999999976,-0.7321560118020833,156
mp-2227483,MgTe2MoW2(SeS)2,10,5,0.28638325887500393,0.014200000000000212,-0.677682089802083,156
