mpid,log(PF_n*10^7),maximum NdUnfilled
mp-30949,7.06069784,0
mp-567391,7.06069784,0
mp-567681,7.06069784,0
mp-643727,7.06069784,0
mp-22997,7.06069784,0
mp-9010,7.06069784,0
mp-9687,7.06069784,0
mp-553243,7.06069784,9
mp-3349,7.06069784,8
mp-5380,7.06069784,0
mp-8299,7.06069784,0
mp-571654,7.06069784,0
mp-570410,7.06069784,0
mp-571535,7.06069784,0
mp-7008,7.06069784,0
mp-12673,7.06069784,9
mp-27487,7.06069784,8
mp-23056,7.06069784,0
mp-28044,7.06069784,0
mp-560588,7.06069784,0
mp-643276,7.06069784,3
mp-23372,7.06069784,0
mp-29187,7.056904851,3
mp-22199,7.056904851,0
mp-10288,7.056904851,9
mp-582723,7.056904851,0
mp-27749,7.056904851,0
mp-556296,7.056904851,0
mp-28432,7.056904851,0
mp-28270,7.056904851,0
mp-551243,7.056904851,0
mp-567386,7.056904851,0
mp-3038,7.056904851,0
mp-20740,7.056904851,0
mp-624399,7.056904851,0
mp-22981,7.056904851,0
mp-8579,7.056904851,0
mp-567402,7.056904851,0
mp-772180,7.056904851,9
mp-864657,7.056904851,0
mp-37906,7.056904851,0
mp-23465,7.056904851,0
mp-682284,7.053078443,0
mp-769517,7.053078443,5
mp-674849,7.053078443,0
mp-20938,7.053078443,0
mp-7462,7.053078443,0
mp-14243,7.053078443,0
mp-28773,7.053078443,0
mp-621092,7.053078443,1
mp-22399,7.053078443,0
mp-7595,7.053078443,0
mp-774146,7.053078443,6
mp-644497,7.053078443,8
mp-625621,7.053078443,0
mp-16870,7.053078443,0
mp-28219,7.053078443,0
mp-654109,7.053078443,0
mp-13003,7.053078443,0
mp-675857,7.053078443,0
mp-3772,7.053078443,0
mp-568598,7.053078443,0
mp-726,7.053078443,0
mp-753785,7.053078443,6
mp-571607,7.053078443,0
mp-555763,7.053078443,0
mp-643264,7.053078443,4
mp-580941,7.053078443,0
mp-9702,7.053078443,0
mp-13148,7.053078443,0
mp-10644,7.053078443,7
mp-7986,7.053078443,0
mp-3443,7.053078443,0
mp-531170,7.049218023,0
mp-549389,7.049218023,0
mp-754326,7.049218023,0
mp-886,7.049218023,0
mp-571425,7.049218023,0
mp-774524,7.049218023,9
mp-28126,7.049218023,0
mp-29297,7.049218023,0
mp-29603,7.049218023,8
mp-29657,7.049218023,0
mp-30123,7.049218023,0
mp-5367,7.049218023,0
mp-6356,7.049218023,0
mp-15645,7.049218023,0
mp-2979,7.049218023,0
